accession_number	organism_name	path
KR364792	Turicimonas muris	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;""Turicimonas"
KU647206	Massilia phosphatilytica	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
KJ183019	Telluria mixta	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Telluria"
JQ608336	Massilia putida	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
HG798294	Massilia norwichensis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
MW198488	Massilia rhizosphaerae	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
KU296190	Massilia pinisoli	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
KC574383	Massilia kyonggiensis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
KJ810584	Massilia arvi	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
EF688526	Massilia aerilata	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
EU808005	Massilia niastensis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
HM130516	Massilia tieshanensis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
KX066866	Massilia neuiana	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
KX672812	Massilia agri	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
FN814307	Massilia consociata	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
JQ409016	Massilia yuzhufengensis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
AY679161	Massilia alkalitolerans	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
AM774587	Massilia varians	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
AM774589	Massilia haematophila	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
FJ969487	Massilia suwonensis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
MN014073	Massilia puerhi	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
KT369857	Massilia arenae	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
AM231588	Massilia aurea	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
AGZI01000009	Massilia timonae	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
CP029343	Massilia oculi	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
EU808006	Massilia niabensis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
KU870758	Massilia solisilvae	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
KU870757	Massilia terrae	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
KU870756	Massilia agilis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
KT963079	Massilia chloroacetimidivorans	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
MN865813	Massilia aquatica	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
CP028324	Massilia armeniaca	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
JF799985	Massilia namucuonensis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
MN612047	Massilia frigida	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
MN611986	Massilia rubra	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
MN612043	Massilia mucilaginosa	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
CP024608	Massilia violaceinigra	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
KJ755877	Massilia glaciei	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
MH551481	Massilia atriviolacea	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
EF546777	Massilia brevitalea	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
FJ969486	Massilia jejuensis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
KJ361504	Massilia eurypsychrophila	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
KM873051	Massilia psychrophila	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
AY966001	Massilia lutea	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
AY965998	Massilia dura	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
AY965999	Massilia albidiflava	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
HM777013	Massilia flava	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
HM053474	Massilia umbonata	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
KU321297	Pseudoduganella eburnea	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Pseudoduganella"
MK968434	Massilia guangdongensis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
AY376163	Pseudoduganella violaceinigra	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Pseudoduganella"
MN865823	Duganella rivi	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Duganella"
MN865822	Duganella fentianensis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Duganella"
MN865821	Duganella qianjiadongensis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Duganella"
MT378212	Massilia horti	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
X65590	Telluria chitinolytica	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Telluria"
KT003718	Massilia violacea	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
KX427103	Pseudoduganella danionis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Pseudoduganella"
KX944690	Massilia buxea	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
AY966000	Massilia plicata	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
HQ839786	Massilia lurida	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
MK968133	Duganella albus	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Duganella"
MK968135	Duganella aquatilis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Duganella"
EU672807	Duganella radicis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Duganella"
KJ186108	Massilia ginsengisoli	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
MN548381	Massilia rivuli	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
MN736119	Duganella callida	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Duganella"
MN733818	Massilia arenosa	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Massilia"
MN548380	Duganella guangzhouensis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Duganella"
EU672806	Duganella sacchari	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Duganella"
MN865820	Duganella flavida	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Duganella"
MN865818	Duganella lactea	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Duganella"
FR852575	Duganella phyllosphaerae	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Duganella"
AB681807	Duganella zoogloeoides	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Duganella"
MN865815	Duganella pernnla	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Duganella"
MK968139	Rugamonas aquatica	"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;""Rugamonas"
HM038005	Rugamonas rubra	"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;""Rugamonas"
MN548382	Rugamonas rivuli	"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;""Rugamonas"
MN865814	Duganella levis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Duganella"
Y08846	Janthinobacterium lividum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Janthinobacterium"
MN548379	Janthinobacterium rivuli	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Janthinobacterium"
MK968137	Janthinobacterium aquaticum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Janthinobacterium"
MK968136	Janthinobacterium violaceinigrum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Janthinobacterium"
HG322949	Janthinobacterium agaricidamnosum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Janthinobacterium"
AB074523	Aquaspirillum arcticum	"Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;""Aquaspirillum"
KU189201	Undibacterium arcticum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Undibacterium"
KM083135	Sapientia aquatica	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Sapientia"
KP899250	Solimicrobium silvestre	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Solimicrobium"
AB469786	Oxalicibacterium horti	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Oxalicibacterium"
AM085762	Herminiimonas aquatilis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Herminiimonas"
AB512142	Herminiimonas fonticola	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Herminiimonas"
HE610501	Herminiimonas contaminans	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Herminiimonas"
EU489741	Herminiimonas glaciei	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Herminiimonas"
AM493906	Herminiimonas saxobsidens	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Herminiimonas"
AY728038	Herminiimonas arsenicoxydans	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Herminiimonas"
HQ699437	Actimicrobium antarcticum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Actimicrobium"
AB021375	Paucimonas lemoignei	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;""Paucimonas"
DQ150563	Herbaspirillum hiltneri	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Herbaspirillum"
AF543312	Herbaspirillum lusitanum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Herbaspirillum"
DQ188986	Herbaspirillum rhizosphaerae	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Herbaspirillum"
AB074524	Herbaspirillum autotrophicum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Herbaspirillum"
KY682716	Herbaspirillum piri	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Herbaspirillum"
LT719158	Collimonas antrihumi	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Collimonas"
AJ310394	Collimonas fungivorans	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Collimonas"
AY281146	Collimonas arenae	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Collimonas"
AY281137	Collimonas pratensis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Collimonas"
HM756647	Glaciimonas alpina	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Glaciimonas"
JX545209	Glaciimonas frigoris	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Glaciimonas"
GU441679	Glaciimonas immobilis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Glaciimonas"
MN100447	Glaciimonas soli	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Glaciimonas"
AY061962	Oxalicibacterium flavum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Oxalicibacterium"
JN390675	Noviherbaspirillum psychrotolerans	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Noviherbaspirillum"
JX275858	Noviherbaspirillum suwonense	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Noviherbaspirillum"
JX218021	Glaciimonas singularis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Glaciimonas"
AB681897	Oxalicibacterium solurbis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Oxalicibacterium"
MF770246	Lacisediminimonas profundi	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Lacisediminimonas"
FJ812351	Paraherbaspirillum soli	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Paraherbaspirillum"
AB021366	Herbaspirillum huttiense subsp. huttiense	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Herbaspirillum"
AB109890	Herbaspirillum huttiense subsp. putei	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Herbaspirillum"
FJ267649	Herbaspirillum aquaticum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Herbaspirillum"
AEEC02000072	Herbaspirillum frisingense	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Herbaspirillum"
KP276241	Herbaspirillum robiniae	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Herbaspirillum"
AB094401	Herbaspirillum chlorophenolicum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Herbaspirillum"
AF137508	Herbaspirillum rubrisubalbicans	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Herbaspirillum"
Y10146	Herbaspirillum seropedicae	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Herbaspirillum"
JWJG01000028	Noviherbaspirillum autotrophicum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Noviherbaspirillum"
KX129821	Noviherbaspirillum agri	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Noviherbaspirillum"
DQ490985	Noviherbaspirillum malthae	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Noviherbaspirillum"
MN056040	Noviherbaspirillum aerium	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Noviherbaspirillum"
JN657219	Noviherbaspirillum massiliense	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Noviherbaspirillum"
MT384338	Noviherbaspirillum arenae	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Noviherbaspirillum"
AB542397	Noviherbaspirillum denitrificans	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Noviherbaspirillum"
KP763493	Noviherbaspirillum humi	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Noviherbaspirillum"
HQ830496	Noviherbaspirillum canariense	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Noviherbaspirillum"
HQ830498	Noviherbaspirillum soli	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Noviherbaspirillum"
HQ830497	Noviherbaspirillum aurantiacum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Noviherbaspirillum"
AB469788	Oxalicibacterium faecigallinarum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Oxalicibacterium"
MK253312	Undibacterium piscinae	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Undibacterium"
JQ417431	Undibacterium terreum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Undibacterium"
LT555406	Undibacterium amnicola	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Undibacterium"
KC735151	Undibacterium seohonense	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Undibacterium"
KU695571	Undibacterium danionis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Undibacterium"
JQ029110	Undibacterium macrobrachii	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Undibacterium"
KM035973	Undibacterium aquatile	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Undibacterium"
GQ379228	Undibacterium oligocarboniphilum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Undibacterium"
MN960186	Undibacterium crateris	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Undibacterium"
KC735150	Undibacterium jejuense	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Undibacterium"
AM397629	Undibacterium parvum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Undibacterium"
AM397630	Undibacterium pigrum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Undibacterium"
HE648174	Undibacterium squillarum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Undibacterium"
U49757	Oxalobacter formigenes	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Oxalobacter"
FR733700	Oxalobacter vibrioformis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;""Oxalobacter"
LT605587	Parvibium lacunae	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Parvibium"
HG324053	Achromobacter deleyi	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
HG324052	Achromobacter kerstersii	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
AB010841	Achromobacter piechaudii	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
AY170848	Achromobacter spanius	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
HG324051	Achromobacter pestifer	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
HE613446	Achromobacter mucicolens	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
HE613448	Achromobacter animicus	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
HF586507	Achromobacter aegrifaciens	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
HE613447	Achromobacter marplatensis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
HF586506	Achromobacter insuavis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
AY170847	Achromobacter insolitus	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
Y14908	Achromobacter xylosoxidans	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
HE798552	Achromobacter pulmonis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
HG324050	Achromobacter agilis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
AJ278451	Achromobacter denitrificans	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
HF586508	Achromobacter anxifer	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
HF586509	Achromobacter dolens	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
AB010840	Achromobacter ruhlandii	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
LT976503	Achromobacter veterisilvae	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
LC094463	Achromobacter aloeverae	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Achromobacter"
LC053647	Bordetella muralis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Bordetella"
LC053656	Bordetella tumbae	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Bordetella"
LC053650	Bordetella tumulicola	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Bordetella"
AM902716	Bordetella petrii	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Bordetella"
KT258895	Saccharedens versatilis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Saccharedens"
U04820	Bordetella holmesii	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Bordetella"
HE965805	Bordetella pertussis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Bordetella"
LRII01000001	Bordetella parapertussis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Bordetella"
U04948	Bordetella bronchiseptica	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Bordetella"
AF177667	Bordetella hinzii	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Bordetella"
JHEP02000033	Bordetella pseudohinzii	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Bordetella"
AJ277798	Bordetella trematum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Bordetella"
AF177666	Bordetella avium	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Bordetella"
CP016170	Bordetella bronchialis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Bordetella"
KF601914	Bordetella sputigena	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Bordetella"
EU082162	Bordetella flabilis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Bordetella"
LT719155	Pigmentiphaga aceris	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Pigmentiphaga"
MH667611	Pigmentiphaga humi	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Pigmentiphaga"
EF100696	Pigmentiphaga daeguensis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Pigmentiphaga"
AF282916	Pigmentiphaga kullae	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Pigmentiphaga"
EU583723	Pigmentiphaga litoralis	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Pigmentiphaga"
JF806521	Pigmentiphaga soli	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Pigmentiphaga"
KX262858	Orrella dioscoreae	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Orrella"
KC986352	Verticiella sediminum	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Verticiella"
MG712864	Algicoccus marinus	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Algicoccus"
MK272950	Orrella amnicola	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;""Orrella"
